# file	test	verdict	target_placement	note
# verdict: keep | move-inline | move-to-tests | regroup | delete
# `delete` rows must name their survivor in the note (CLN-04).
crates/piperine-cli/tests/test_tb.rs	failing_testbench_shows_traceback_and_exits_one	keep	tests	hint:integration
crates/piperine-cli/tests/test_tb.rs	hanging_testbench_is_killed_and_failed	keep	tests	hint:integration
crates/piperine-cli/tests/test_tb.rs	list_prints_without_running	keep	tests	hint:integration
crates/piperine-cli/tests/test_tb.rs	no_testbenches_is_a_notice_not_a_failure	keep	tests	hint:integration
crates/piperine-cli/tests/test_tb.rs	passing_testbench_exits_zero	keep	tests	hint:integration
crates/piperine-cli/tests/test_tb.rs	run_broken_phdl_fails_instead_of_claiming_success	keep	tests	hint:integration
crates/piperine-cli/tests/test_tb.rs	run_explicit_phdl_elaborates_that_file	keep	tests	hint:integration
crates/piperine-cli/tests/test_tb.rs	run_phdl_elaborates_and_points_at_testbenches	keep	tests	hint:integration
crates/piperine-cli/tests/test_tb.rs	run_unknown_entry_fails_loud	keep	tests	hint:integration
crates/piperine-codegen/src/device/analog/operators.rs	transition_pending_edges_while_ramping	keep	inline	hint:unit
crates/piperine-codegen/src/device/analog/operators.rs	transition_ramps_linearly_over_rise_and_fall	keep	inline	hint:unit
crates/piperine-codegen/src/device/analog/operators.rs	transition_retargets_from_current_value_mid_ramp	keep	inline	hint:unit
crates/piperine-codegen/src/device/analog/operators.rs	transition_seeds_at_first_accept	keep	inline	hint:unit
crates/piperine-codegen/src/device/analog/operators.rs	transition_zero_ramp_declares_only_the_start_edge	keep	inline	hint:unit
crates/piperine-codegen/src/device/analog/operators.rs	transition_zero_rise_or_fall_steps_at_the_delay_edge	keep	inline	hint:unit
crates/piperine-codegen/tests/analog_kernel.rs	a_capacitor_emits_charge_and_charge_jacobian_but_no_resistive_current	keep	tests	hint:integration
crates/piperine-codegen/tests/analog_kernel.rs	a_diode_reads_its_thermal_voltage_from_the_sim_context	keep	tests	hint:integration
crates/piperine-codegen/tests/analog_kernel.rs	a_guarded_contribution_conducts_only_above_its_threshold	keep	tests	hint:integration
crates/piperine-codegen/tests/analog_kernel.rs	a_user_function_is_inlined_into_the_contribution	keep	tests	hint:integration
crates/piperine-codegen/tests/analog_kernel.rs	simparam_reads_the_sim_context_temperature	keep	tests	hint:integration
crates/piperine-codegen/tests/analog_kernel.rs	transition_compiles_and_claims_a_runtime_state_slot	keep	tests	hint:integration
crates/piperine-codegen/tests/checkpoint_digital.rs	combined_limiter_and_digital_round_trip	keep	tests	hint:integration
crates/piperine-codegen/tests/checkpoint_digital.rs	digital_device_checkpoints_registers	keep	tests	hint:integration
crates/piperine-codegen/tests/checkpoint_digital.rs	digital_register_device_declares_supports_rollback	keep	tests	hint:integration
crates/piperine-codegen/tests/checkpoint_digital.rs	digital_registers_round_trip_through_checkpoint_restore	keep	tests	hint:integration
crates/piperine-codegen/tests/checkpoint_limiter.rs	checkpoint_after_restore_recaptures_clean_state	keep	tests	hint:integration
crates/piperine-codegen/tests/checkpoint_limiter.rs	limiter_device_checkpoints_some_resistor_none	keep	tests	hint:integration
crates/piperine-codegen/tests/checkpoint_limiter.rs	limiter_state_round_trips_through_checkpoint_restore	keep	tests	hint:integration
crates/piperine-codegen/tests/checkpoint_limiter.rs	piperine_device_produces_limiting_report_when_clamping	keep	tests	hint:integration
crates/piperine-codegen/tests/checkpoint_limiter.rs	piperine_device_reports_none_when_limiter_idle	keep	tests	hint:integration
crates/piperine-codegen/tests/checkpoint_limiter.rs	supports_rollback_flag_tracks_the_limiter	keep	tests	hint:integration
crates/piperine-codegen/tests/codegen_api.rs	ir_analog_compile_capacitor	keep	tests	hint:integration
crates/piperine-codegen/tests/codegen_api.rs	ir_analog_compile_resistor	keep	tests	hint:integration
crates/piperine-codegen/tests/codegen_api.rs	ir_analog_compile_tanh_builtin	keep	tests	hint:integration
crates/piperine-codegen/tests/codegen_api.rs	ir_digital_compile_dff	keep	tests	hint:integration
crates/piperine-codegen/tests/codegen_api.rs	ppr_ir_produces_module_index	keep	tests	hint:integration
crates/piperine-codegen/tests/codegen_api.rs	test_purely_resistive_device_capabilities	keep	tests	hint:integration
crates/piperine-codegen/tests/codegen_api.rs	test_reactive_device_capabilities	keep	tests	hint:integration
crates/piperine-codegen/tests/codegen_ir.rs	test_compile_resistor	keep	tests	hint:integration
crates/piperine-codegen/tests/codegen_ir.rs	test_diode_jacobian_forward_bias	keep	tests	hint:integration
crates/piperine-codegen/tests/codegen_ir.rs	test_diode_residual_forward_bias	keep	tests	hint:integration
crates/piperine-codegen/tests/codegen_ir.rs	test_jit_compiles	keep	tests	hint:integration
crates/piperine-codegen/tests/codegen_ir.rs	test_jit_two_resistors	keep	tests	hint:integration
crates/piperine-codegen/tests/codegen_ir.rs	test_resistor_jacobian_conductance	keep	tests	hint:integration
crates/piperine-codegen/tests/codegen_ir.rs	test_resistor_residual_ohms_law	keep	tests	hint:integration
crates/piperine-codegen/tests/codegen_ir.rs	test_vccs_jacobian_transconductance	keep	tests	hint:integration
crates/piperine-codegen/tests/codegen_ir.rs	test_vccs_residual	keep	tests	hint:integration
crates/piperine-codegen/tests/digital_codegen_gaps.rs	digital_enum_pattern_match_selects_the_right_arm	keep	tests	hint:integration
crates/piperine-codegen/tests/digital_codegen_gaps.rs	digital_fn_call_inlines_and_computes_nand	keep	tests	hint:integration
crates/piperine-codegen/tests/digital_codegen_gaps.rs	digital_quad_real_coercion_both_directions	keep	tests	hint:integration
crates/piperine-codegen/tests/digital_codegen_gaps.rs	digital_real_to_quad_coercion_does_not_truncate_fractional_nonzero	keep	tests	hint:integration
crates/piperine-codegen/tests/digital_fusion.rs	fusion_active_on_ripple_adder_cone	keep	tests	hint:integration
crates/piperine-codegen/tests/digital_fusion.rs	fusion_bit_identical_clocked_cone	keep	tests	hint:integration
crates/piperine-codegen/tests/digital_fusion.rs	fusion_bit_identical_nba_pipeline	keep	tests	hint:integration
crates/piperine-codegen/tests/digital_fusion.rs	fusion_bit_identical_static_adder	keep	tests	hint:integration
crates/piperine-codegen/tests/digital_jit.rs	dff_captures_on_rising_edge_only	keep	tests	hint:integration
crates/piperine-codegen/tests/digital_jit.rs	inverter_computes_quad_not	keep	tests	hint:integration
crates/piperine-codegen/tests/digital_jit.rs	match_selects_arm_and_default	keep	tests	hint:integration
crates/piperine-codegen/tests/digital_jit.rs	pipeline_reads_pre_edge_values	keep	tests	hint:integration
crates/piperine-codegen/tests/disto_capabilities.rs	jit_device_never_declares_numeric_jacobian	keep	tests	hint:integration
crates/piperine-codegen/tests/disto_capabilities.rs	nonlinear_device_declares_disto2_and_disto3_resistor_neither	keep	tests	hint:integration
crates/piperine-codegen/tests/disto_capabilities.rs	quadratic_device_declares_disto2_only	keep	tests	hint:integration
crates/piperine-codegen/tests/disto_jit.rs	disto2_branch_current_read_fails_loud_naming_device	keep	tests	hint:integration
crates/piperine-codegen/tests/disto_jit.rs	disto2_cross_derivative_matches_symbolic_reference	keep	tests	hint:integration
crates/piperine-codegen/tests/disto_jit.rs	disto2_nested_temp_chain_reads_the_correct_branch_tapes	keep	tests	hint:integration
crates/piperine-codegen/tests/disto_jit.rs	disto2_nonlinear_charge_second_derivative	keep	tests	hint:integration
crates/piperine-codegen/tests/disto_jit.rs	disto2_polynomial_vccs_matches_symbolic_second_derivative	keep	tests	hint:integration
crates/piperine-codegen/tests/disto_jit.rs	disto3_cross_third_derivative_matches_symbolic_reference	keep	tests	hint:integration
crates/piperine-codegen/tests/disto_jit.rs	disto3_cubic_charge_third_derivative	keep	tests	hint:integration
crates/piperine-codegen/tests/disto_jit.rs	disto3_cubic_vccs_matches_symbolic_third_derivative	keep	tests	hint:integration
crates/piperine-codegen/tests/flatten_hierarchy.rs	flattened_ladder_simulates_correctly	keep	tests	hint:integration
crates/piperine-codegen/tests/flatten_hierarchy.rs	mid_level_module_builds_through_codegen	keep	tests	hint:integration
crates/piperine-codegen/tests/flatten_hierarchy.rs	override_on_spliced_label_restamps_flat_instance	keep	tests	hint:integration
crates/piperine-codegen/tests/flatten_hierarchy.rs	override_on_unknown_spliced_label_fails_loud	keep	tests	hint:integration
crates/piperine-codegen/tests/flatten_hierarchy.rs	two_mid_level_instances_produce_distinct_spliced_labels	keep	tests	hint:integration
crates/piperine-codegen/tests/from_ir.rs	from_ir_ppr_resistor_yields_circuit	keep	tests	hint:integration
crates/piperine-codegen/tests/from_ir.rs	from_ir_resistor_va_yields_circuit	keep	tests	hint:integration
crates/piperine-codegen/tests/from_ir.rs	from_ir_unknown_top_returns_err	keep	tests	hint:integration
crates/piperine-codegen/tests/from_ir.rs	jit_device_exposes_params_through_introspection	keep	tests	hint:integration
crates/piperine-codegen/tests/limiters.rs	fetlim_matches_ngspice_reference	keep	tests	hint:integration
crates/piperine-codegen/tests/limiters.rs	limit_catalog_pnjlim_infers_voltage_step	keep	tests	hint:integration
crates/piperine-codegen/tests/limiters.rs	limit_catalog_records_kind_per_slot	keep	tests	hint:integration
crates/piperine-codegen/tests/limiters.rs	limiting_report_names_the_actual_limiter_not_hardcoded_pnjlim	keep	tests	hint:integration
crates/piperine-codegen/tests/limiters.rs	limvds_matches_ngspice_reference	keep	tests	hint:integration
crates/piperine-codegen/tests/live_params.rs	jit_device_set_errors_are_loud_with_flattened_param_names	keep	tests	hint:integration
crates/piperine-codegen/tests/live_params.rs	mid_transient_c_jump_stays_accurate_and_storm_free	keep	tests	hint:integration
crates/piperine-codegen/tests/live_params.rs	mid_transient_l_jump_stays_accurate_and_storm_free	keep	tests	hint:integration
crates/piperine-codegen/tests/live_params.rs	mid_transient_r_set_switches_the_rc_time_constant_at_the_breakpoint	keep	tests	hint:integration
crates/piperine-codegen/tests/live_params.rs	presence_flipping_set_returns_typed_rebuild_without_applying	keep	tests	hint:integration
crates/piperine-codegen/tests/live_params.rs	solver_set_matches_pom_path_for_flat_and_bundle_params	keep	tests	hint:integration
crates/piperine-codegen/tests/live_set_never_recompiles.rs	live_sets_never_recompile_across_restamp_and_temperature_cycles	keep	tests	hint:integration
crates/piperine-codegen/tests/model_descriptor.rs	at_model_on_param_fails_loud_at_build	keep	tests	hint:integration
crates/piperine-codegen/tests/model_descriptor.rs	force_terminal_pairs_catalog_surfaces_branch_names	keep	tests	hint:integration
crates/piperine-codegen/tests/model_descriptor.rs	model_descriptor_carries_kernel_module_name	keep	tests	hint:integration
crates/piperine-codegen/tests/model_descriptor.rs	model_descriptor_default_is_empty	keep	tests	hint:integration
crates/piperine-codegen/tests/model_descriptor.rs	model_descriptor_reads_at_model_attribute	keep	tests	hint:integration
crates/piperine-codegen/tests/model_descriptor.rs	noise_terminal_pairs_catalog_surfaces_branch_names	keep	tests	hint:integration
crates/piperine-codegen/tests/model_descriptor.rs	state_slot_names_catalog_is_non_empty_for_reactive_device	keep	tests	hint:integration
crates/piperine-codegen/tests/model_descriptor.rs	state_slot_names_includes_vold_for_limiter	keep	tests	hint:integration
crates/piperine-codegen/tests/model_descriptor.rs	unified_report_surface_is_non_empty_for_real_device	keep	tests	hint:integration
crates/piperine-codegen/tests/observable_catalog.rs	at_name_feeds_both_query_and_observable_catalogs	keep	tests	hint:integration
crates/piperine-codegen/tests/observable_catalog.rs	device_with_force_current_declares_branch_current_observable	keep	tests	hint:integration
crates/piperine-codegen/tests/observable_catalog.rs	device_with_vars_declares_var_observables	keep	tests	hint:integration
crates/piperine-codegen/tests/observable_catalog.rs	digital_only_device_declares_no_observables	keep	tests	hint:integration
crates/piperine-codegen/tests/observable_catalog.rs	observable_costs_are_in_unit_range	keep	tests	hint:integration
crates/piperine-codegen/tests/observable_catalog.rs	observable_named_and_kinded_by_at_name_and_at_kind	keep	tests	hint:integration
crates/piperine-codegen/tests/observable_catalog.rs	reactive_device_declares_state_observable	keep	tests	hint:integration
crates/piperine-codegen/tests/opvar_bridge.rs	device_without_module_vars_compiles_empty_opvar_path	keep	tests	hint:integration
crates/piperine-codegen/tests/opvar_bridge.rs	list_queries_returns_typed_opvar_catalog	keep	tests	hint:integration
crates/piperine-codegen/tests/opvar_bridge.rs	query_descriptor_absent_attrs_keeps_default	keep	tests	hint:integration
crates/piperine-codegen/tests/opvar_bridge.rs	query_descriptor_carries_at_unit_and_description	keep	tests	hint:integration
crates/piperine-codegen/tests/opvar_bridge.rs	query_reads_opvar_by_name	keep	tests	hint:integration
crates/piperine-codegen/tests/opvar_bridge.rs	read_opvars_returns_compiled_module_vars	keep	tests	hint:integration
crates/piperine-codegen/tests/opvar_bridge.rs	read_opvars_returns_every_module_var	keep	tests	hint:integration
crates/piperine-codegen/tests/opvar_bridge.rs	read_opvars_uses_at_name_label	keep	tests	hint:integration
crates/piperine-codegen/tests/resolve_lowering.rs	a_cross_event_keeps_its_guard	keep	tests	hint:integration
crates/piperine-codegen/tests/resolve_lowering.rs	a_digital_body_is_lowered	keep	tests	hint:integration
crates/piperine-codegen/tests/resolve_lowering.rs	a_global_function_is_registered_in_the_symbol_table	keep	tests	hint:integration
crates/piperine-codegen/tests/resolve_lowering.rs	a_potential_force_lowers_to_a_force_bind	keep	tests	hint:integration
crates/piperine-codegen/tests/resolve_lowering.rs	a_resistive_contribution_lowers_to_a_contrib_bind	keep	tests	hint:integration
crates/piperine-codegen/tests/resolve_lowering.rs	a_string_param_keeps_its_default	keep	tests	hint:integration
crates/piperine-codegen/tests/resolve_lowering.rs	an_above_event_lowers_as_an_event	keep	tests	hint:integration
crates/piperine-codegen/tests/resolve_lowering.rs	an_unknown_name_in_a_contribution_is_refused_before_any_code_is_emitted	keep	tests	hint:integration
crates/piperine-codegen/tests/resolve_lowering.rs	an_unknown_net_in_an_instance_connection_fails_lowering	keep	tests	hint:integration
crates/piperine-codegen/tests/resolve_lowering.rs	ddt_registers_one_ddt_state_slot	keep	tests	hint:integration
crates/piperine-codegen/tests/resolve_lowering.rs	flicker_noise_registers_a_flicker_source	keep	tests	hint:integration
crates/piperine-codegen/tests/resolve_lowering.rs	idtmod_registers_its_state_slot	keep	tests	hint:integration
crates/piperine-codegen/tests/resolve_lowering.rs	transition_registers_its_state_slot	keep	tests	hint:integration
crates/piperine-codegen/tests/resolve_lowering.rs	white_noise_registers_a_source_on_its_branch	keep	tests	hint:integration
crates/piperine-codegen/tests/silent_bugs.rs	a5_neg_in_digital_still_works	keep	tests	hint:integration
crates/piperine-codegen/tests/silent_bugs.rs	a6_from_ir_propagates_child_compile_error_not_silent_skip	keep	tests	hint:integration
crates/piperine-codegen/tests/silent_bugs.rs	a7_capacitor_compiles_through_ir_path	keep	tests	hint:integration
crates/piperine-codegen/tests/silent_bugs.rs	d1_op_amp_with_force_compiles	keep	tests	hint:integration
crates/piperine-codegen/tests/silent_bugs.rs	d1_voltage_force_compiles_with_force_residual	keep	tests	hint:integration
crates/piperine-codegen/tests/silent_bugs.rs	d2_idt_in_contribution_lowers_to_integrator	keep	tests	hint:integration
crates/piperine-codegen/tests/silent_bugs.rs	d5_spec_diode_with_user_fn_compiles	keep	tests	hint:integration
crates/piperine-codegen/tests/silent_bugs.rs	d5_user_fn_call_to_nonbuiltin_is_inlined_not_silently_zero	keep	tests	hint:integration
crates/piperine-codegen/tests/silent_bugs.rs	d5_user_fn_inlined_at_call_site_in_contribution	keep	tests	hint:integration
crates/piperine-codegen/tests/silent_bugs.rs	d5_user_fn_missing_still_errors	keep	tests	hint:integration
crates/piperine-codegen/tests/table_op.rs	arity_and_mode_fail_loud	keep	tests	hint:integration
crates/piperine-codegen/tests/table_op.rs	length_mismatch_fails_loud	keep	tests	hint:integration
crates/piperine-codegen/tests/table_op.rs	non_monotonic_breakpoints_fail_loud	keep	tests	hint:integration
crates/piperine-codegen/tests/temperature_dtemp.rs	analog_instance_caches_effective_temperature	keep	tests	hint:integration
crates/piperine-codegen/tests/temperature_dtemp.rs	dtemp_instance_composes_into_effective_temperature	keep	tests	hint:integration
crates/piperine-codegen/tests/temperature_dtemp.rs	no_dtemp_param_caches_received_temperature	keep	tests	hint:integration
crates/piperine-codegen/tests/temperature_dtemp.rs	set_temperature_returns_temperature_invalidation	keep	tests	hint:integration
crates/piperine-codegen/tests/terminal_bridge.rs	analog_kernel_terminals_bridge_names_and_kinds	keep	tests	hint:integration
crates/piperine-codegen/tests/terminal_bridge.rs	at_kind_external_on_wire_wins_over_inferred	keep	tests	hint:integration
crates/piperine-codegen/tests/terminal_bridge.rs	bjt_lists_external_ports_and_internal_parasitic_wires	keep	tests	hint:integration
crates/piperine-codegen/tests/terminal_bridge.rs	digital_kernel_directions_are_in_for_inputs_out_for_outputs	keep	tests	hint:integration
crates/piperine-codegen/tests/terminal_bridge.rs	digital_kernel_terminals_bridge_inputs_and_outputs	keep	tests	hint:integration
crates/piperine-codegen/tests/terminal_bridge.rs	internal_wire_at_kind_internal_named_cp	keep	tests	hint:integration
crates/piperine-codegen/tests/terminal_bridge.rs	mixed_signal_device_lists_analog_and_digital_terminals	keep	tests	hint:integration
crates/piperine-codegen/tests/terminal_bridge.rs	port_at_kind_auxiliary_classifies_terminal	keep	tests	hint:integration
crates/piperine-codegen/tests/terminal_bridge.rs	two_port_resistor_lists_only_external_terminals	keep	tests	hint:integration
crates/piperine-lang-server/src/text_pos.rs	ascii_round_trip	keep	inline	hint:unit
crates/piperine-lang-server/src/text_pos.rs	byte_range_builds_lsp_range	keep	inline	hint:unit
crates/piperine-lang-server/src/text_pos.rs	column_past_end_of_line_clamps	keep	inline	hint:unit
crates/piperine-lang-server/src/text_pos.rs	line_past_eof_clamps	keep	inline	hint:unit
crates/piperine-lang-server/src/text_pos.rs	non_ascii_columns_are_utf16	keep	inline	hint:unit
crates/piperine-lang-server/src/text_pos.rs	word_at_handles_cursor_positions	keep	inline	hint:unit
crates/piperine-lang-server/tests/completion_suppression.rs	completion_mid_behavior_body_still_offers_for	keep	tests	hint:integration
crates/piperine-lang-server/tests/completion_suppression.rs	completion_right_after_module_close_brace_never_offers_for_and_offers_mod	keep	tests	hint:integration
crates/piperine-lang-server/tests/completion_suppression.rs	completion_right_after_module_close_brace_suppresses_all_behavior_only_keywords_but_keeps_if_and_var	keep	tests	hint:integration
crates/piperine-lang-server/tests/import_goto.rs	goto_on_use_path_and_imported_module	keep	tests	hint:integration
crates/piperine-lang-server/tests/instance_highlight.rs	clicking_instance_type_name_resolves_to_the_module	keep	tests	hint:integration
crates/piperine-lang-server/tests/instance_highlight.rs	clicking_unlabeled_instance_type_name_resolves_to_the_module	keep	tests	hint:integration
crates/piperine-lang-server/tests/instance_highlight.rs	highlighting_labeled_instance_label_targets_only_the_label_token	keep	tests	hint:integration
crates/piperine-lang-server/tests/instance_highlight.rs	resolved_decl_span_has_a_matching_binding_in_the_resolution_index	keep	tests	hint:integration
crates/piperine-lang-server/tests/integration_test.rs	attr_arg_bad_type_diagnostic_points_at_the_specific_argument	keep	tests	hint:integration
crates/piperine-lang-server/tests/integration_test.rs	attr_arg_unknown_field_diagnostic_points_at_the_specific_argument	keep	tests	hint:integration
crates/piperine-lang-server/tests/integration_test.rs	attr_missing_required_field_diagnostic_points_at_the_attribute	keep	tests	hint:integration
crates/piperine-lang-server/tests/integration_test.rs	attribute_instance_appears_as_outline_entry_on_its_declaration	keep	tests	hint:integration
crates/piperine-lang-server/tests/integration_test.rs	completion_off_attr_position_does_not_offer_schema_names	keep	tests	hint:integration
crates/piperine-lang-server/tests/integration_test.rs	cross_file_diagnostics_fan_out_to_the_erroring_file	keep	tests	hint:integration
crates/piperine-lang-server/tests/integration_test.rs	cross_file_goto_opens_the_declaring_file	keep	tests	hint:integration
crates/piperine-lang-server/tests/integration_test.rs	cross_file_rename_edits_every_referencing_file	keep	tests	hint:integration
crates/piperine-lang-server/tests/integration_test.rs	diagnostic_carries_the_structured_elab_error_code	keep	tests	hint:integration
crates/piperine-lang-server/tests/integration_test.rs	diagnostic_carries_the_structured_parse_error_code	keep	tests	hint:integration
crates/piperine-lang-server/tests/integration_test.rs	document_highlight_excludes_other_scope_and_comment_matches	keep	tests	hint:integration
crates/piperine-lang-server/tests/integration_test.rs	extern_attribute_use_site_resolves_to_its_decl_span	keep	tests	hint:integration
crates/piperine-lang-server/tests/integration_test.rs	extern_fn_use_site_resolves_to_its_decl_span	keep	tests	hint:integration
crates/piperine-lang-server/tests/integration_test.rs	extern_impl_method_use_site_resolves_to_its_own_decl_span	keep	tests	hint:integration
crates/piperine-lang-server/tests/integration_test.rs	extern_operator_use_site_resolves_to_its_decl_span	keep	tests	hint:integration
crates/piperine-lang-server/tests/integration_test.rs	extern_type_use_site_resolves_to_its_decl_span	keep	tests	hint:integration
crates/piperine-lang-server/tests/integration_test.rs	goto_definition_on_attr_schema_use_opens_its_extern_attribute_decl	keep	tests	hint:integration
crates/piperine-lang-server/tests/integration_test.rs	goto_definition_on_ddt_lands_on_operators_header	keep	tests	hint:integration
crates/piperine-lang-server/tests/integration_test.rs	goto_definition_on_same_file_extern_decl_still_works	keep	tests	hint:integration
crates/piperine-lang-server/tests/integration_test.rs	goto_definition_on_shadowed_name_lands_on_the_correct_declaration	keep	tests	hint:integration
crates/piperine-lang-server/tests/integration_test.rs	hover_on_attr_schema_use_lists_its_fields	keep	tests	hint:integration
crates/piperine-lang-server/tests/integration_test.rs	hover_on_documented_discipline_renders_doc_as_markdown	keep	tests	hint:integration
crates/piperine-lang-server/tests/integration_test.rs	hover_on_documented_extern_operator_renders_doc_as_markdown	keep	tests	hint:integration
crates/piperine-lang-server/tests/integration_test.rs	hover_on_documented_module_renders_doc_as_markdown	keep	tests	hint:integration
crates/piperine-lang-server/tests/integration_test.rs	hover_on_module_with_same_named_behavior_resolves_the_module_not_the_behavior	keep	tests	hint:integration
crates/piperine-lang-server/tests/integration_test.rs	hover_on_undocumented_extern_operator_is_unchanged	keep	tests	hint:integration
crates/piperine-lang-server/tests/integration_test.rs	hover_on_undocumented_module_is_unchanged	keep	tests	hint:integration
crates/piperine-lang-server/tests/integration_test.rs	non_identifier_position_returns_no_location	keep	tests	hint:integration
crates/piperine-lang-server/tests/integration_test.rs	occurrences_at_excludes_other_scope_and_comment_matches	keep	tests	hint:integration
crates/piperine-lang-server/tests/integration_test.rs	occurrences_at_on_non_symbol_is_empty	keep	tests	hint:integration
crates/piperine-lang-server/tests/integration_test.rs	occurrences_at_returns_exactly_the_indexed_uses	keep	tests	hint:integration
crates/piperine-lang-server/tests/integration_test.rs	outline_entry_without_attribute_has_no_attribute_children	keep	tests	hint:integration
crates/piperine-lang-server/tests/integration_test.rs	prepare_rename_declines_on_literal	keep	tests	hint:integration
crates/piperine-lang-server/tests/integration_test.rs	project_unit_builds_one_index_spanning_all_project_files	keep	tests	hint:integration
crates/piperine-lang-server/tests/integration_test.rs	references_excludes_comment_and_other_scope_matches	keep	tests	hint:integration
crates/piperine-lang-server/tests/integration_test.rs	rename_edits_only_the_binding_uses_other_scope_untouched	keep	tests	hint:integration
crates/piperine-lang-server/tests/integration_test.rs	resolve_at_shadowed_name_resolves_to_innermost_not_first_declared	keep	tests	hint:integration
crates/piperine-lang-server/tests/integration_test.rs	resolve_at_uses_cursor_context_not_global_first_match	keep	tests	hint:integration
crates/piperine-lang-server/tests/integration_test.rs	schema_completion_after_at_sign_offers_in_scope_schema_names	keep	tests	hint:integration
crates/piperine-lang-server/tests/integration_test.rs	schema_completion_filters_by_typed_prefix	keep	tests	hint:integration
crates/piperine-lang-server/tests/integration_test.rs	standalone_document_diagnostics_still_publish	keep	tests	hint:integration
crates/piperine-lang-server/tests/integration_test.rs	standalone_document_has_no_project_unit	keep	tests	hint:integration
crates/piperine-lang-server/tests/integration_test.rs	test_e2e_lsp_server_memory_connection	keep	tests	hint:integration
crates/piperine-lang-server/tests/integration_test.rs	test_extract_error_range_lexer_error	keep	tests	hint:integration
crates/piperine-lang-server/tests/integration_test.rs	test_extract_error_range_unknown_position	keep	tests	hint:integration
crates/piperine-lang-server/tests/integration_test.rs	test_server_capabilities_declared	keep	tests	hint:integration
crates/piperine-lang-server/tests/integration_test.rs	undeclared_name_use_site_still_returns_no_location	keep	tests	hint:integration
crates/piperine-lang-server/tests/protocol.rs	harness_drives_completion_round_trip	keep	tests	hint:integration
crates/piperine-lang-server/tests/protocol.rs	harness_drives_goto_definition_round_trip	keep	tests	hint:integration
crates/piperine-lang-server/tests/protocol.rs	harness_drives_hover_round_trip	keep	tests	hint:integration
crates/piperine-lang-server/tests/protocol.rs	harness_drives_references_round_trip	keep	tests	hint:integration
crates/piperine-lang-server/tests/protocol.rs	harness_drives_rename_round_trip	keep	tests	hint:integration
crates/piperine-lang-server/tests/protocol.rs	protocol_cross_file_fixture_goto_and_rename_both_work	keep	tests	hint:integration
